"line","start_x","start_y","end_x","end_y","pm25","start_station","end_station"
"Jubilee",519373,186334,519348,188725,5.76,"Wembley Park","Kingsbury"
"Jubilee",519373,186334,521440,185349,7.07260416666667,"Wembley Park","Neasden"
"Jubilee",521440,185349,522207,185138,6.75,"Neasden","Dollis Hill"
"Jubilee",522207,185138,523350,184877,9.39520833333332,"Dollis Hill","Willesden Green"
"Jubilee",523350,184877,524589,184637,8.09520833333332,"Willesden Green","Kilburn"
"Jubilee",525552,184641,524589,184637,18.3872222222222,"West Hampstead","Kilburn"
"Jubilee",525552,184641,526262,184699,6.6,"West Hampstead","Finchley Road"
"Jubilee",526670,184292,526262,184699,133.914166666666,"Swiss Cottage","Finchley Road"
"Jubilee",526670,184292,526735,183320,120.580833333333,"Swiss Cottage","St. John's Wood"
"Jubilee",527965,182070,526735,183320,198.080833333333,"Baker Street","St. John's Wood"
"Jubilee",528516,181054,527965,182070,255.080833333333,"Bond Street","Baker Street"
"Jubilee",528981,180292,528516,181054,278.180833333333,"Green Park","Bond Street"
"Jubilee",528981,180292,530254,179683,301.580833333333,"Green Park","Westminster"
"Jubilee",530993,179971,530254,179683,293.2475,"Waterloo","Westminster"
"Jubilee",532871,180242,531615,180025,316.080833333333,"London Bridge","Southwark"
"Jubilee",534508,179445,532871,180242,278.580833333333,"Bermondsey","London Bridge"
"Jubilee",534508,179445,535476,179464,353.580833333333,"Bermondsey","Canada Water"
"Jubilee",535476,179464,537561,180150,231.380833333333,"Canada Water","Canary Wharf"
"Jubilee",537561,180150,539170,179819,192.580833333333,"Canary Wharf","North Greenwich"
"Jubilee",538573,184379,539184,182935,8.47424999999999,"Stratford","West Ham"
"Jubilee",539170,179819,539445,181346,115.129166666666,"North Greenwich","Canning Town"
"Jubilee",539445,181346,539184,182935,38.4538888888889,"Canning Town","West Ham"
"Metropolitan",496063,201612,499647,197564,34.4324404761905,"Chesham","Chalfont & Latimer"
"Metropolitan",496387,198182,499647,197564,57.3674019607843,"Amersham","Chalfont & Latimer"
