line,station,pm25,particle_number,black_carbon,x,y,z
Metropolitan,Euston Square,162.90,12428.00,16.00,-0.135830965994489,51.5255570566997,-6.90
Central,Ealing Broadway,45.20,8892.89,1.87,-0.301503836484471,51.5149171044906,-5.10
Docklands Light Railway,Westferry,13.80,7964.00,1.53,-0.0257988180834338,51.5094314532129,-90.00
Docklands Light Railway,Custom House,16.20,6527.50,1.60,0.0276857789062582,51.509544082353,-3.60
Central,Redbridge,122.40,8223.00,19.65,0.0454201042948467,51.5763036004385,-5.24
Piccadilly,Acton Town,290.40,14904.67,16.90,-0.280257232470773,51.5027466035886,-5.50
District,South Kensington,88.20,9999.00,10.30,-0.173925852542494,51.4939991963803,-7.03
Jubilee,West Ham,63.45,7030.25,3.75,0.00504272454821985,51.5281795214174,0.20
Central,Gants Hill,104.40,6985.50,18.40,0.0661101294499154,51.5764896647322,-16.47
Metropolitan,Liverpool Street,134.10,12230.50,11.25,-0.0829663006137775,51.5173490726498,-6.60
Hammersmith & City,Moorgate,7.08,10583.50,23.30,-0.0890062507802512,51.5183648779712,-5.50
Bakerloo,Regent's Park,340.20,13408.00,102.35,-0.146856103412032,51.523501617007,-24.82
Docklands Light Railway,Poplar,19.20,10184.50,1.68,-0.0172221431391914,51.507488232508,-90.00
Circle,King's Cross St. Pancras,86.40,10016.00,14.60,-0.123854353600157,51.5303929191438,-7.90
Bakerloo,Piccadilly Circus,264.21,19408.33,135.13,-0.134000768241266,51.5100248729043,-25.20
Central,Queensway,304.20,20097.67,56.10,-0.18743711486931,51.5103772639196,-23.91
Jubilee,Canning Town,86.85,9735.75,11.10,0.00817447883598586,51.5138365874554,-2.00
Piccadilly,Bounds Green,451.80,11287.50,36.30,-0.124218096931006,51.607086339687,-16.18
Bakerloo,South Kenton,99.00,10766.00,30.40,-0.308593866335048,51.5701692165177,3.40
Hammersmith & City,Baker Street,13.87,13470.50,40.85,-0.156907053899173,51.5230574802078,-8.15
Metropolitan,Northwood,95.40,5887.00,2.75,-0.423854037718577,51.6111591946495,-5.40
Central,Greenford,30.60,6187.50,4.35,-0.346443825131705,51.5423022101562,10.20
Circle,Temple,63.00,10957.00,11.70,-0.113699873564125,51.5109680760824,-5.80
District,Turnham Green,6.30,9999.00,1.30,-0.254527268833221,51.4951096369166,5.90
Central,Bethnal Green,257.40,19996.50,46.65,-0.0554352887269737,51.527192377855,-15.97
Victoria,Seven Sisters,308.32,18860.75,161.68,-0.0724960093310132,51.5833535398351,-18.01
Metropolitan,Baker Street,158.40,13165.00,15.80,-0.156907053899173,51.5230574802078,-6.50
District,Upney,29.70,11268.00,1.45,0.101571700835846,51.5383331674908,-5.70
Bakerloo,Maida Vale,343.80,14533.50,106.90,-0.185629201565602,51.5297640016647,-14.42
District,Hammersmith,36.00,9999.00,1.75,-0.222399620478315,51.492567796395,-4.60
Docklands Light Railway,Limehouse,17.40,7951.67,2.43,-0.0397179585230042,51.5124976110333,-90.00
Northern,Kennington,413.10,24901.75,68.58,-0.105481951454734,51.488120396687,-17.22
Docklands Light Railway,Pudding Mill Lane,15.30,5987.50,1.10,-0.0131691635206523,51.5343975801816,-90.00
Hammersmith & City,Farringdon,12.27,10408.50,35.85,-0.105063421916659,51.5204418869312,-4.50
